date,value
11/28/2003,4032900000000
11/26/2003,null
11/25/2003,null
11/24/2003,null
11/21/2003,null
11/20/2003,null
11/19/2003,null
11/18/2003,null
11/17/2003,null
11/14/2003,null
11/13/2003,null
11/12/2003,null
11/10/2003,null
11/7/2003,null
11/6/2003,null
11/5/2003,null
11/4/2003,null
11/3/2003,null
10/31/2003,3990510000000
10/30/2003,null
10/29/2003,null
10/28/2003,null
10/27/2003,null
10/24/2003,null
10/23/2003,null
10/22/2003,null
10/21/2003,null
10/20/2003,null
10/17/2003,null
10/16/2003,null
10/15/2003,null
10/14/2003,null
10/10/2003,null
10/9/2003,null
10/8/2003,null
10/7/2003,null
10/6/2003,null
10/3/2003,null
10/2/2003,null
10/1/2003,null
9/30/2003,3924090000000
9/29/2003,null
9/26/2003,null
9/25/2003,null
9/24/2003,null
9/23/2003,null
9/22/2003,null
9/19/2003,null
9/18/2003,null
9/17/2003,null
9/16/2003,null
9/15/2003,null
9/12/2003,null
9/11/2003,null
9/10/2003,null
9/9/2003,null
9/8/2003,null
9/5/2003,null
9/4/2003,null
9/3/2003,null
9/2/2003,null
8/29/2003,3947860000000
8/28/2003,null
8/27/2003,null
8/26/2003,null
8/25/2003,null
8/22/2003,null
8/21/2003,null
8/20/2003,null
8/19/2003,null
8/18/2003,null
8/15/2003,null
8/14/2003,null
8/13/2003,null
8/12/2003,null
8/11/2003,null
8/8/2003,null
8/7/2003,null
8/6/2003,null
8/5/2003,null
8/4/2003,null
8/1/2003,null
7/31/2003,3902890000000
7/30/2003,null
7/29/2003,null
7/28/2003,null
7/25/2003,null
7/24/2003,null
7/23/2003,null
7/22/2003,null
7/21/2003,null
7/18/2003,null
7/17/2003,null
7/16/2003,null
7/15/2003,null
7/14/2003,null
7/11/2003,null
7/10/2003,null
7/9/2003,null
7/8/2003,null
7/7/2003,null
7/3/2003,null
7/2/2003,null
7/1/2003,null
6/30/2003,3816830000000
6/27/2003,null
6/26/2003,null
6/25/2003,null
6/24/2003,null
6/23/2003,null
6/20/2003,null
6/19/2003,null
6/18/2003,null
6/17/2003,null
6/16/2003,null
6/13/2003,null
6/12/2003,null
6/11/2003,null
6/10/2003,null
6/9/2003,null
6/6/2003,null
6/5/2003,null
6/4/2003,null
6/3/2003,null
6/2/2003,null
5/30/2003,3776620000000
5/29/2003,null
5/28/2003,null
5/27/2003,null
5/23/2003,null
5/22/2003,null
5/21/2003,null
5/20/2003,null
5/19/2003,null
5/16/2003,null
5/15/2003,null
5/14/2003,null
5/13/2003,null
5/12/2003,null
5/9/2003,null
5/8/2003,null
5/7/2003,null
5/6/2003,null
5/5/2003,null
5/2/2003,null
5/1/2003,null
4/30/2003,3702840000000
4/29/2003,null
4/28/2003,null
4/25/2003,null
4/24/2003,null
4/23/2003,null
4/22/2003,null
4/21/2003,null
4/18/2003,null
4/17/2003,null
4/16/2003,null
4/15/2003,null
4/14/2003,null
4/11/2003,null
4/10/2003,null
4/9/2003,null
4/8/2003,null
4/7/2003,null
4/4/2003,null
4/3/2003,null
4/2/2003,null
4/1/2003,null
3/31/2003,3711310000000
3/28/2003,null
3/27/2003,null
3/26/2003,null
3/25/2003,null
3/24/2003,null
3/21/2003,null
3/20/2003,null
3/19/2003,null
3/18/2003,null
3/17/2003,null
3/14/2003,null
3/13/2003,null
3/12/2003,null
3/11/2003,null
3/10/2003,null
3/7/2003,null
3/6/2003,null
3/5/2003,null
3/4/2003,null
3/3/2003,null
2/28/2003,3683890000000
2/27/2003,null
2/26/2003,null
2/25/2003,null
2/24/2003,null
2/21/2003,null
2/20/2003,null
2/19/2003,null
2/18/2003,null
2/14/2003,null
2/13/2003,null
2/12/2003,null
2/11/2003,null
2/10/2003,null
2/7/2003,null
2/6/2003,null
2/5/2003,null
2/4/2003,null
2/3/2003,null
1/31/2003,null
1/30/2003,null
1/29/2003,null
1/28/2003,null
1/27/2003,null
1/24/2003,null
1/23/2003,null
1/22/2003,null
1/21/2003,null
1/17/2003,null
1/16/2003,null
1/15/2003,null
1/14/2003,null
1/13/2003,null
1/10/2003,null
1/9/2003,null
1/8/2003,null
1/7/2003,null
1/6/2003,null
1/3/2003,null
1/2/2003,null
12/31/2002,3647940000000
12/30/2002,null
12/27/2002,null
12/26/2002,null
12/24/2002,null
12/23/2002,null
12/20/2002,null
12/19/2002,null
12/18/2002,null
12/17/2002,null
12/16/2002,null
12/13/2002,null
12/12/2002,null
12/11/2002,null
12/10/2002,null
12/9/2002,null
12/6/2002,null
12/5/2002,null
12/4/2002,null
12/3/2002,null
12/2/2002,null
11/29/2002,3649350000000
11/27/2002,null
11/26/2002,null
11/25/2002,null
11/22/2002,null
11/21/2002,null
11/20/2002,null
11/19/2002,null
11/18/2002,null
11/15/2002,null
11/14/2002,null
11/13/2002,null
11/12/2002,null
11/8/2002,null
11/7/2002,null
11/6/2002,null
11/5/2002,null
11/4/2002,null
11/1/2002,null
10/31/2002,3586520000000
10/30/2002,null
10/29/2002,null
10/28/2002,null
10/25/2002,null
10/24/2002,null
10/23/2002,null
10/22/2002,null
10/21/2002,null
10/18/2002,null
10/17/2002,null
10/16/2002,null
10/15/2002,null
10/11/2002,null
10/10/2002,null
10/9/2002,null
10/8/2002,null
10/7/2002,null
10/4/2002,null
10/3/2002,null
10/2/2002,null
10/1/2002,null
9/30/2002,3553180000000
9/27/2002,null
9/26/2002,null
9/25/2002,null
9/24/2002,null
9/23/2002,null
9/20/2002,null
9/19/2002,null
9/18/2002,null
9/17/2002,null
9/16/2002,null
9/13/2002,null
9/12/2002,null
9/11/2002,null
9/10/2002,null
9/9/2002,null
9/6/2002,null
9/5/2002,null
9/4/2002,null
9/3/2002,null
8/30/2002,3558280000000
8/29/2002,null
8/28/2002,null
8/27/2002,null
8/26/2002,null
8/23/2002,null
8/22/2002,null
8/21/2002,null
8/20/2002,null
8/19/2002,null
